Feature,Biological anomaly,Category,Clinical group,Clinical subtype,Clinical syndrome,Disease,Etiological subtype,Histopathological subtype,Malformation syndrome,Morphological anomaly,Particular clinical situation in a disease or syndrome
gene_FGFR3,-0.0020888340508771475,-0.0016696701736946045,-0.0023096460276936354,0.005030651982363006,-0.001781777478679288,0.0018876294335019486,-0.003986644458558326,-0.0010562294542492386,-0.0020649266140916702,0.009157570139698978,-0.0011181232977201159
gene_SHH,-0.000263405032452797,-0.00027415541468638337,-0.00029440753166736216,-0.00034973108311152514,-0.00021889298498488957,-0.0004733800066540085,-0.00037672933237649294,-0.0001540289078706945,0.002996177400077543,-0.00042891848942547733,-0.00016252861684798139
gene_TTN,-0.0007007737278162549,-0.0008213869805115766,-0.0009103461294335504,-0.0011858151026971613,-0.0006521777514823617,0.008208192379456766,-0.0009423468907625422,-0.0006458805424765121,-0.0010950290826882544,-0.0007436831224559826,-0.0005107530491326535
gene_IDH2,-0.01331719000378628,-0.03412266282407874,-0.027405042769669746,-0.025620193566526256,-0.018071808645782384,-0.013307859202760666,-0.023949380745030252,0.2237072192733121,-0.023859214533169807,-0.02624249060826101,-0.017811376374245028
gene_RYR1,-0.0015935135062257323,-0.0015981749092768946,-0.002095267169977062,0.013241394979366116,-0.0016056022053074722,0.004830972283531443,-0.0031888627099459096,-0.0011376246830237227,-0.0029425950860582496,-0.0026612982334498947,-0.0012494287596327251
gene_FGFR2,-0.002454510046088906,-0.0023983535465002858,-0.0025146721798522177,0.014049944539128322,-0.0017505098966957358,-0.00019997353018831363,-0.0035383950246593676,-0.0013223656078866506,0.005159785754234849,-0.003735642072527718,-0.0012953083889641213
gene_CTNNB1,-0.0008687957105242009,-0.0015650961615619903,-0.0013518574672384662,-0.0014571993978885064,-0.001053970939136144,0.002891442677912525,-0.0013475831394750787,-0.0010772497097449073,0.008234955107975854,-0.0015023845806605245,-0.0009022606796583849
gene_BRCA2,-0.0003389695364413486,-0.0004106324561917096,-0.0003739858055665953,-0.0004661183662201647,-0.0002714797323211132,0.0034233726222265616,-0.00037773837191713806,-0.0003070845120739438,-0.0003506679852420869,-0.00030835211607634425,-0.00021834374017613373
gene_KRAS,-0.00024849131377569476,-0.00042700547442191765,-0.00046556770700927844,-0.0005509176378486316,-0.0003853731058009815,0.0010533896842669479,-0.0005299140112127308,-0.0003299323922614552,0.002885402163630004,-0.000687678364212543,-0.0003139118413537439
gene_FLNA,-0.003446582406707471,-0.0068409922809321505,-0.007245312482634754,-0.0062349885700960315,-0.007471518283136324,-0.002396352397705078,0.03402055096570111,-0.004914986010730208,0.007000509259651689,0.00615765412253524,-0.008627981915946516
gene_FBN1,-0.0024920076585336886,-0.0021585212628467388,-0.002527178355543002,0.007134267451882071,-0.0024565450844324216,0.002386709666849179,-0.003108102776128511,-0.0014593758069342121,0.010151352590595318,-0.0028437238807042767,-0.0026268748842035953
gene_DSP,-0.0005969145446688299,-0.0006030083284350269,-0.0006949401479339072,-0.0009655305007264467,-0.0004825136696936399,0.007597631633681072,-0.0008911975835212138,-0.0004052923740972892,-0.0017039238036636972,-0.0008643777567476841,-0.00038993292419337987
gene_NKX2-5,-0.002538938792464239,-0.003689611272659529,-0.0038723631606011324,-0.003860791341568151,-0.0021885110198571044,-0.003533657334936711,-0.0035660590604336996,-0.0015865492079402022,0.0027069247972943107,0.024130115669617695,-0.0020005592764512324
gene_RET,-0.0016064517738589162,-0.0014836441510234768,-0.0016603901095626323,0.015974577138842393,-0.0011628950080081466,-0.002498962652962164,-0.0021986851051710144,-0.0012192764880450098,-0.0019246582872761593,-0.001452570031787686,-0.0007670435311469881
gene_GNAS,-0.0014036877619574238,-0.002645728541999683,-0.002240964003138064,0.006375179573997118,-0.0019528555946463193,-0.0012303568244184284,-0.0022480874109710473,-0.0024253356183605032,0.011593278693569771,-0.002169652819244399,-0.001651789692830984
gene_TET2,-0.00046886092789764444,-0.0009825859679480316,-0.0008357269170500919,0.007940742302319616,-0.0010617343782595133,-0.0001664249816552285,-0.0007310952560037376,-0.0014139016908583876,-0.0006575123762884235,-0.0008080550915813376,-0.0008148447147771709
gene_WT1,-0.0004017855620310022,-0.0003375502211651472,-0.0004820828336870453,-0.0006210254957919052,-0.000434904781172224,0.001889980365839953,-0.0007741348742574849,-0.0002918918496106995,0.002417793012928002,-0.0007061571701619849,-0.00025824059089059673
gene_COL1A1,-0.002298731912908131,-0.0016532311457385616,-0.0023549625477350677,0.019615388427809126,-0.0015103675779904002,0.001288073532892578,-0.0038807050294779825,-0.0011605798141770362,-0.0043699279351531355,-0.002708870146676267,-0.0009660858508449557
gene_LRP5,-0.002874120231668201,-0.0021374934999913208,-0.0027311953040191775,-0.0029456388491367665,-0.001884885632083676,-0.0025361192897473887,-0.003415197228940411,-0.0013983193541289409,0.02335001334925339,-0.0022820230881102554,-0.0011450208714273802
