OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
488191,Female infertility due to oocyte meiotic arrest,Point prevalence,Class only,Unknown,0.0,Worldwide
487796,Takenouchi-Kosaki syndrome,Cases/families,Case(s),,2.0,Worldwide
487796,Takenouchi-Kosaki syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
487814,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to DGAT2 mutation,Cases/families,Case(s),,2.0,Worldwide
487814,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to DGAT2 mutation,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
487809,Pediatric collagenous gastritis,Cases/families,Case(s),,24.0,Worldwide
487809,Pediatric collagenous gastritis,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
487825,Pierpont syndrome,Cases/families,Case(s),,7.0,Worldwide
487825,Pierpont syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
31205,Rat-bite fever,Point prevalence,Class only,Unknown,0.0,Worldwide
31204,Nocardiosis,Point prevalence,Class only,Unknown,0.0,Worldwide
31204,Nocardiosis,Annual incidence,Value and class,1-9 / 1 000 000,0.6,Canada
31202,Melioidosis,Point prevalence,Class only,Unknown,0.0,Worldwide
31202,Melioidosis,Annual incidence,Value and class,1-5 / 10 000,50.0,Australia
31202,Melioidosis,Annual incidence,Value and class,1-5 / 10 000,50.0,Thailand
31150,Tangier disease,Cases/families,Case(s),,185.0,Worldwide
31150,Tangier disease,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
31043,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis without severe ocular involvement,Cases/families,Case(s),,110.0,Worldwide
31043,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis without severe ocular involvement,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
31112,Dermatofibrosarcoma protuberans,Point prevalence,Value and class,1-5 / 10 000,10.0,Europe
30924,Primary hypomagnesemia with secondary hypocalcemia,Cases/families,Case(s),,100.0,Worldwide
30924,Primary hypomagnesemia with secondary hypocalcemia,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
30925,Hereditary arginine vasopressin deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
476084,BVES-related limb-girdle muscular dystrophy,Cases/families,Case(s),,3.0,Worldwide
476084,BVES-related limb-girdle muscular dystrophy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
476096,Erythrokeratodermia-cardiomyopathy syndrome,Cases/families,Case(s),,3.0,Worldwide
476096,Erythrokeratodermia-cardiomyopathy syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
476093,HSPB8-related autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome,Cases/families,Case(s),,8.0,Worldwide
476093,HSPB8-related autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
71278,Congenital brain dysgenesis due to glutamine synthetase deficiency,Cases/families,Case(s),,3.0,Worldwide
71278,Congenital brain dysgenesis due to glutamine synthetase deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
71279,CANOMAD syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
71279,CANOMAD syndrome,Cases/families,Case(s),,100.0,Worldwide
71271,Split hand-split foot-deafness syndrome,Cases/families,Case(s),,22.0,Worldwide
71271,Split hand-split foot-deafness syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
71272,Sandifer syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
71273,Renal nutcracker syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
71274,Disseminated peritoneal leiomyomatosis,Cases/families,Case(s),,150.0,Worldwide
71274,Disseminated peritoneal leiomyomatosis,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
71275,Rh deficiency syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
71276,Silent sinus syndrome,Cases/families,Case(s),,558.0,Worldwide
71276,Silent sinus syndrome,Point prevalence,Class only,Unknown,0.0,Worldwide
71277,Classic glucose transporter type 1 deficiency syndrome,Point prevalence,Value and class,1-9 / 1 000 000,0.26,Norway
71277,Classic glucose transporter type 1 deficiency syndrome,Point prevalence,Value and class,1-9 / 100 000,1.11,Australia
71277,Classic glucose transporter type 1 deficiency syndrome,Point prevalence,Value and class,1-9 / 1 000 000,0.538,Worldwide
71277,Classic glucose transporter type 1 deficiency syndrome,Point prevalence,Value and class,1-9 / 100 000,1.2,Denmark
71212,Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency,Cases/families,Case(s),,10.0,Worldwide
71212,Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.73,Martinique
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,<1 / 1 000 000,0.054,Austria
71211,Neuromyelitis optica spectrum disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.1877,Worldwide
71211,Neuromyelitis optica spectrum disorder,Point prevalence,Value and class,1-9 / 100 000,2.071,Worldwide
